# Temperature (T)   Average Magnetization
0.000000   1.000000
0.081633   1.000000
0.163265   1.000000
0.244898   1.000000
0.326531   0.999987
0.408163   0.999884
0.489796   0.999438
0.571429   0.998204
0.653061   0.995631
0.734694   0.991157
0.816327   0.984746
0.897959   0.975788
0.979592   0.964568
1.061224   0.950917
1.142857   0.934355
1.224490   0.915836
1.306122   0.895804
1.387755   0.873652
1.469388   0.850538
1.551020   0.826780
1.632653   0.801620
1.714286   0.776213
1.795918   0.750209
1.877551   0.725910
1.959184   0.700651
2.040816   0.675570
2.122449   0.651896
2.204082   0.628580
2.285714   0.606107
2.367347   0.583525
2.448980   0.564536
2.530612   0.544190
2.612245   0.525793
2.693878   0.508348
2.775510   0.491018
2.857143   0.473597
2.938776   0.458178
3.020408   0.445266
3.102041   0.431725
3.183673   0.418313
3.265306   0.406673
3.346939   0.393427
3.428571   0.382732
3.510204   0.372660
3.591837   0.362297
3.673469   0.352560
3.755102   0.344536
3.836735   0.334060
3.918367   0.326542
4.000000   0.317019
